substrate_id,yield,tfa_equivalents,reagent_nbs,reagent_nis,reagent_palauchlor,GATS7d_mordred,softness+_max_aqme,MINaaN_mordred,GATS7s_mordred,MDEO-12_mordred,softness-_indxcarbon_aqme,Buried volume_min_aqme,ETA_dEpsilon_B_mordred,FilterItLogS_mordred,Radical attack_indxcarbon_aqme,AATS7i_mordred,Partial charge_min_aqme,FOD p proportion_indxcarbon_aqme,GATS8d_mordred,SIC1_mordred,MINdssC_mordred,MINsCH3_mordred,BCUTs-1l_mordred,Disp. coeff. C6_max_aqme,Nu_Nucleophil._min_aqme,SaaCH_mordred,MDEO-11_mordred,MAXdO_mordred,BCUTdv-1l_mordred,MAXssCH2_mordred,ATSC2d_mordred
Bifonazole,95.0,10.0,0.0,0.0,1.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,87.69230769,15.0,0.0,0.0,1.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,82.82051282,25.0,0.0,0.0,1.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,3.250507797,0.0,0.0,1.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,1.266877438,1.0,0.0,1.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,91.83109585,2.0,0.0,1.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,95.15186066,4.0,0.0,1.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,92.65361315,6.0,0.0,1.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,96.36529766,10.0,0.0,1.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
Bifonazole,97.54930332,15.0,0.0,1.0,0.0,0.927801724,0.0069,4.222191928,1.119708241,,0.0045,0.3087,0.079877112,-5.4199983,0.0331,160.6164245,-0.2707,0.0091,1.31122076,0.440165441,,,1.260773798,28.8672,-0.0082,35.52091244,,,2.734218507,,-3.469387755
